Sản phẩm,SKU,Đơn vị,Giá lẻ,Giá sỉ,KHOADL,VITA,VYQN,NAMAN,TRAMQ10,TUANTHUY,HOA,TUANH,ANHPR,GREENTECH,P50,LOYAL
Bí xanh khô (gói 50gr),XUANLOC160,Gói,80.000,65.000,65.000,0,0,0,0,0,0,0,0,0,65.000,0
Hạt ngũ cốc thanh xuân,XUANLOC167,Gói,93.000,65.000,65.000,65.000,65.000,0,65.000,65.000,65.000,65.000,0,65.000,65.000,65.000
Bột mè đen cửu chưng cửu sái (hủ 500gr),XUANLOC155,Hủ,265.000,185.000,185.000,0,0,0,0,0,0,0,0,0,185.000,0
Hành tây trắng (củ nhỏ),MOUNTAIN166,Kg,63.000,38.000,38.000,38.000,38.000,0,38.000,0,38.000,38.000,0,0,38.000,38.000
Xích tiểu đậu,MOUNTAIN165,Kg,126.000,95.000,95.000,95.000,95.000,0,95.000,90.000,95.000,90.000,90.000,95.000,95.000,95.000
Cà chua,MOUNTAIN164,Kg,57.000,40.000,40.000,40.000,40.000,0,40.000,40.000,40.000,40.000,40.000,43.000,40.000,40.000
Cao sâm 100gr,XUANLOC166,Hộp,508.000,352.000,352.000,0,352.000,0,352.000,352.000,352.000,352.000,0,352.000,352.000,352.000
Nước chuối len men,XUANLOC165,Lít,0,230.000,230.000,0,0,0,0,0,0,0,0,0,230.000,0
Trà xích tiểu đậu (gói 250gr),XUANLOC154,Gói,65.000,45.000,45.000,45.000,45.000,0,45.000,45.000,45.000,45.000,0,45.000,45.000,45.000
Tai heo,HANGTUOI71,Kg,202.000,202.000,202.000,0,0,0,0,202.000,0,0,0,0,202.000,170.000
Bó xôi,MOUNTAIN163,Kg,65.000,45.000,45.000,48.000,45.000,0,37.000,0,45.000,45.000,0,48.000,45.000,45.000
Bột khoai lang chín (gói 100gr),MOUNTAIN162,Gói,59.000,43.000,43.000,43.000,43.000,0,43.000,43.000,43.000,43.000,0,43.000,43.000,43.000
Nước dâu tằm lên men (500ml),XUANLOC153,Chai,0,99.000,99.000,0,0,0,0,0,0,0,0,0,99.000,0
Set quà Tết,XUANLOC999,Set,0,0,0,0,0,0,0,0,0,0,0,0,0,0
